mask_use,aux,aux_batch,freeze_mode,lr,exp,cell,cell_size,prob,train_mode,epoch,acc,f1,loss,prec,recall
False,False,4,False,0.0001,0,False,[56],0.1,train,0,0.6617262423714037,0.6868442292171105,0.5862058401107788,0.7323580034423408,0.6466565349544073
False,False,4,False,0.0001,0,False,[56],0.1,valid,0,0.6716666666666666,0.6973886328725039,0.5993033647537231,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,1,0.6591107236268526,0.6835289356535815,0.6670624017715454,0.7311688311688311,0.6417173252279635
False,False,4,False,0.0001,0,False,[56],0.1,valid,1,0.6716666666666666,0.6973886328725039,0.6062936186790466,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,2,0.6623801220575414,0.6861195542046605,0.5992884635925293,0.7351280937907078,0.6432370820668692
False,False,4,False,0.0001,0,False,[56],0.1,valid,2,0.675,0.7067669172932332,0.6485776901245117,0.7484076433121019,0.6695156695156695
False,False,4,False,0.0001,0,False,[56],0.1,train,3,0.6608544027898866,0.6865431103948428,0.6620766520500183,0.7307032590051458,0.6474164133738601
False,False,4,False,0.0001,0,False,[56],0.1,valid,3,0.6716666666666666,0.6973886328725039,0.6534467935562134,0.7566666666666667,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,4,0.6623801220575414,0.6866275541169329,0.6456083655357361,0.7343141497187364,0.6447568389057751
False,False,4,False,0.0001,0,False,[56],0.1,valid,4,0.67,0.696319018404908,0.6329967379570007,0.7541528239202658,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,5,0.6617262423714037,0.6870967741935483,0.6432896256446838,0.7319587628865979,0.6474164133738601
False,False,4,False,0.0001,0,False,[56],0.1,valid,5,0.6716666666666666,0.6992366412213741,0.6018205881118774,0.7532894736842105,0.6524216524216524
False,False,4,False,0.0001,0,False,[56],0.1,train,6,0.6615082824760244,0.6865792129162462,0.6658968329429626,0.7322427894963409,0.6462765957446809
False,False,4,False,0.0001,0,False,[56],0.1,valid,6,0.6683333333333333,0.6952526799387442,0.649114191532135,0.7516556291390728,0.6467236467236467
False,False,4,False,0.0001,0,False,[56],0.1,train,7,0.6636878814298169,0.6893497080732838,0.6244374513626099,0.7331905781584582,0.6504559270516718
False,False,4,False,0.0001,0,False,[56],0.1,valid,7,0.6666666666666666,0.7150997150997151,0.61204594373703,0.7150997150997151,0.7150997150997151
False,False,4,False,0.0001,0,False,[56],0.1,train,8,0.6632519616390584,0.6967615309126595,0.6318687796592712,0.7206658546488023,0.6743920972644377
False,False,4,False,0.0001,0,False,[56],0.1,valid,8,0.67,0.6990881458966566,0.5738365054130554,0.749185667752443,0.6552706552706553
False,False,4,False,0.0001,0,False,[56],0.1,train,9,0.6639058413251961,0.7006987577639752,0.6626461148262024,0.7162698412698413,0.685790273556231
False,False,4,False,0.0001,0,False,[56],0.1,valid,9,0.6633333333333333,0.7089337175792507,0.5818519592285156,0.717201166180758,0.7008547008547008
False,False,4,False,0.0001,0,False,[56],0.1,train,10,0.6652136006974717,0.6931681981622053,0.6103141903877258,0.7308340353833193,0.65919452887538
False,False,4,False,0.0001,0,False,[56],0.1,valid,10,0.675,0.7013782542113324,0.5969833135604858,0.7582781456953642,0.6524216524216524
False,False,4,False,0.0001,0,False,[56],0.1,train,11,0.6660854402789886,0.6957903097696585,0.6121665835380554,0.7287853577371048,0.6656534954407295
