AP,epoch,exp,loss,lr,train_mode,train_type
0.7510248409895315,0.0,0.0,0.11762839351594448,0.0001,train,baseline
0.8697756681486114,0.0,0.0,0.07924771743516128,0.0001,valid,baseline
0.8865583723088538,1.0,0.0,0.0717036259919405,0.0001,train,baseline
0.892381391379756,1.0,0.0,0.07034608442336321,0.0001,valid,baseline
0.9155667777879065,2.0,0.0,0.060094934016466144,0.0001,train,baseline
0.8865077499691845,2.0,0.0,0.07317898670832317,0.0001,valid,baseline
0.9340336836521851,3.0,0.0,0.05203174759447575,0.0001,train,baseline
0.8970937609226641,3.0,0.0,0.06962913647294044,0.0001,valid,baseline
0.9466666397383171,4.0,0.0,0.04609146282821894,0.0001,train,baseline
0.8936101640044776,4.0,0.0,0.07276294101029634,0.0001,valid,baseline
0.9586694689442117,5.0,0.0,0.03994540789723396,0.0001,train,baseline
0.8913686326093698,5.0,0.0,0.0759575255215168,0.0001,valid,baseline
0.9669889049488425,6.0,0.0,0.03530026223883033,0.0001,train,baseline
0.875983238546047,6.0,0.0,0.08281916493756904,0.0001,valid,baseline
0.9742243135902336,7.0,0.0,0.030828213986009358,0.0001,train,baseline
0.883726465098564,7.0,0.0,0.0845815861183736,0.0001,valid,baseline
0.9795293138686586,8.0,0.0,0.02730218792706728,0.0001,train,baseline
0.8870893606619333,8.0,0.0,0.08242466678428981,0.0001,valid,baseline
0.9857420197489329,9.0,0.0,0.02249093133956194,0.0001,train,baseline
0.8718373400199192,9.0,0.0,0.09534559367845456,0.0001,valid,baseline
0.9870991453431932,10.0,0.0,0.02137538991495967,0.0001,train,baseline
0.8772552228737837,10.0,0.0,0.094858987049924,0.0001,valid,baseline
0.9909283393593772,11.0,0.0,0.017735597055405377,0.0001,train,baseline
0.8843254922853953,11.0,0.0,0.0930998572665784,0.0001,valid,baseline
0.9924200284037503,12.0,0.0,0.01600969480909407,0.0001,train,baseline
0.8792505554965593,12.0,0.0,0.0993460047369202,0.0001,valid,baseline
0.9935890043559132,13.0,0.0,0.014500820832327009,0.0001,train,baseline
0.8753820610643708,13.0,0.0,0.101384319882426,0.0001,valid,baseline
0.9948892920850234,14.0,0.0,0.013022701451554895,0.0001,train,baseline
0.8780151668133327,14.0,0.0,0.10408697370439768,0.0001,valid,baseline
0.9947956237590008,15.0,0.0,0.012846985379233957,0.0001,train,baseline
0.8757186368471684,15.0,0.0,0.1062035458162427,0.0001,valid,baseline
0.9960186862457258,16.0,0.0,0.011518200785852969,0.0001,train,baseline
0.8675788742382373,16.0,0.0,0.11185512691736221,0.0001,valid,baseline
0.9961768110817301,17.0,0.0,0.010896577864885331,0.0001,train,baseline
0.8727746440350922,17.0,0.0,0.11060211662616995,0.0001,valid,baseline
0.9971291253352381,18.0,0.0,0.009439492965117096,0.0001,train,baseline
0.8591182909182332,18.0,0.0,0.11852703367670377,0.0001,valid,baseline
0.997021980885967,19.0,0.0,0.009579744659364224,0.0001,train,baseline
0.8740896669737563,19.0,0.0,0.1189510826435354,0.0001,valid,baseline
0.9976346908984796,20.0,0.0,0.00850951921287924,0.0001,train,baseline
0.8713377579112207,20.0,0.0,0.11649415186709827,0.0001,valid,baseline
0.9978587486786211,21.0,0.0,0.008005544923711569,0.0001,train,baseline
0.8693614712486881,21.0,0.0,0.1178738870140579,0.0001,valid,baseline
0.9972610612828661,22.0,0.0,0.009142016353551299,0.0001,train,baseline
0.8669235331324496,22.0,0.0,0.11954274949514204,0.0001,valid,baseline
0.9979267506039575,23.0,0.0,0.008027757472824306,0.0001,train,baseline
0.8722758838009105,23.0,0.0,0.1203721035271883,0.0001,valid,baseline
0.9982771710610062,24.0,0.0,0.007161652788054198,0.0001,train,baseline
0.868519575613768,24.0,0.0,0.12312982697039843,0.0001,valid,baseline
0.9984884684817525,25.0,0.0,0.0065498133290093396,0.0001,train,baseline
0.8746817887568397,25.0,0.0,0.12330055826654036,0.0001,valid,baseline
0.9983663725037445,26.0,0.0,0.006949042740277946,0.0001,train,baseline
0.8644345129963609,26.0,0.0,0.13120612139917082,0.0001,valid,baseline
0.9983505864511858,27.0,0.0,0.006631304549053312,0.0001,train,baseline
0.8680823398273082,27.0,0.0,0.13333813659846783,0.0001,valid,baseline
0.9982323803451032,28.0,0.0,0.0069423012267798186,0.0001,train,baseline
0.86563269005887,28.0,0.0,0.12754006683826447,0.0001,valid,baseline
0.9986119320183585,29.0,0.0,0.0063486959752626715,0.0001,train,baseline
0.8673700234270263,29.0,0.0,0.12606083850065866,0.0001,valid,baseline
0.9987421922688393,30.0,0.0,0.005948261152254417,0.0001,train,baseline
0.8687223768583856,30.0,0.0,0.1254085274413228,0.0001,valid,baseline
0.9986533664828746,31.0,0.0,0.0060500006349757315,0.0001,train,baseline
0.8666210518643909,31.0,0.0,0.1352249804056353,0.0001,valid,baseline
0.9990443722966384,32.0,0.0,0.0050924364731181416,0.0001,train,baseline
0.86688337356899,32.0,0.0,0.13045672182407644,0.0001,valid,baseline
0.9989751244741595,33.0,0.0,0.005330804541707039,0.0001,train,baseline
0.8628484121334953,33.0,0.0,0.13538030121061537,0.0001,valid,baseline
0.9987012629372708,34.0,0.0,0.006111791404662654,0.0001,train,baseline
0.867632753596943,34.0,0.0,0.13315241400980288,0.0001,valid,baseline
0.9987666576601315,35.0,0.0,0.005617401494877413,0.0001,train,baseline
0.8690056109143718,35.0,0.0,0.13182556918925709,0.0001,valid,baseline
0.9989259850598158,36.0,0.0,0.005320630661444738,0.0001,train,baseline
0.860041861677995,36.0,0.0,0.13266940590822035,0.0001,valid,baseline
0.9989937204834843,37.0,0.0,0.0052723247304093095,0.0001,train,baseline
0.8648316460212279,37.0,0.0,0.13453559411896598,0.0001,valid,baseline
0.9988302874322353,38.0,0.0,0.005628930588252842,0.0001,train,baseline
0.8605490691488707,38.0,0.0,0.14095558039844036,0.0001,valid,baseline
0.9988790450104719,39.0,0.0,0.005521392334252596,0.0001,train,baseline
0.8629164446396439,39.0,0.0,0.13848460072444546,0.0001,valid,baseline
0.9991630392166613,40.0,0.0,0.004623703802237287,0.0001,train,baseline
0.8613664513778905,40.0,0.0,0.14282839579714668,0.0001,valid,baseline
0.9990393989240214,41.0,0.0,0.005152277357177809,0.0001,train,baseline
0.8598517585770938,41.0,0.0,0.14002452273335722,0.0001,valid,baseline
0.9989717991899826,42.0,0.0,0.005051347287837416,0.0001,train,baseline
0.8582747801337743,42.0,0.0,0.1389099278797706,0.0001,valid,baseline
0.9994394531115347,43.0,0.0,0.003699609297909774,0.0001,train,baseline
0.8620231028891953,43.0,0.0,0.14280559277782837,0.0001,valid,baseline
0.9994060962615385,44.0,0.0,0.004012202777317725,0.0001,train,baseline
0.8676975565180848,44.0,0.0,0.14601511591010624,0.0001,valid,baseline
0.9992173915699267,45.0,0.0,0.004595578512293286,0.0001,train,baseline
0.8606799093234818,45.0,0.0,0.14025726676401165,0.0001,valid,baseline
0.99945265461271,46.0,0.0,0.00387963402736932,0.0001,train,baseline
0.8670507110381362,46.0,0.0,0.13945980018211734,0.0001,valid,baseline
0.9992982265740575,47.0,0.0,0.004300882959389128,0.0001,train,baseline
0.8628901269884652,47.0,0.0,0.15172852617171076,0.0001,valid,baseline
0.9994042639773764,48.0,0.0,0.0038364617400802672,0.0001,train,baseline
0.8568049925808063,48.0,0.0,0.14146294196446738,0.0001,valid,baseline
0.9990663892061024,49.0,0.0,0.004782472654245794,0.0001,train,baseline
0.8578383266963738,49.0,0.0,0.13925347001188332,0.0001,valid,baseline
0.999373858608908,50.0,0.0,0.0038642805027775465,0.0001,train,baseline
0.8629002996053654,50.0,0.0,0.1488669722651442,0.0001,valid,baseline
0.9994365149832553,51.0,0.0,0.0037449410702101887,0.0001,train,baseline
0.8683237223266775,51.0,0.0,0.13623329396877024,0.0001,valid,baseline
0.999442616113762,52.0,0.0,0.003770734365214594,0.0001,train,baseline
0.8685398504045809,52.0,0.0,0.14083775050110287,0.0001,valid,baseline
0.9993931795907715,53.0,0.0,0.003922044791164808,0.0001,train,baseline
0.8586521717635199,53.0,0.0,0.1466449567427238,0.0001,valid,baseline
