epoch,exp,loss,lr,metric,train_mode,train_type
0.0,0.0,0.6366857678171188,0.0001,0.0,train,pretrain
0.0,0.0,0.6376811103387312,0.0001,0.0,valid,pretrain
1.0,0.0,0.6057057418520488,0.0001,0.0,train,pretrain
1.0,0.0,0.5951483032920144,0.0001,0.0,valid,pretrain
2.0,0.0,0.5860415034823947,0.0001,0.0,train,pretrain
2.0,0.0,0.5766847242008556,0.0001,0.0,valid,pretrain
3.0,0.0,0.5678744883764357,0.0001,0.0,train,pretrain
3.0,0.0,0.561542044986378,0.0001,0.0,valid,pretrain
4.0,0.0,0.5498979593080188,0.0001,0.0,train,pretrain
4.0,0.0,0.5420055877078663,0.0001,0.0,valid,pretrain
5.0,0.0,0.5296888550122579,0.0001,0.0,train,pretrain
5.0,0.0,0.5202182693914934,0.0001,0.0,valid,pretrain
6.0,0.0,0.5060178874030946,0.0001,0.0,train,pretrain
6.0,0.0,0.4948270862752741,0.0001,0.0,valid,pretrain
7.0,0.0,0.4818468098602598,0.0001,0.0,train,pretrain
7.0,0.0,0.4819522066549821,0.0001,0.0,valid,pretrain
8.0,0.0,0.4597705692525894,0.0001,0.0,train,pretrain
8.0,0.0,0.4522296813401309,0.0001,0.0,valid,pretrain
9.0,0.0,0.4390206644459376,0.0001,0.0,train,pretrain
9.0,0.0,0.43035858056762,0.0001,0.0,valid,pretrain
10.0,0.0,0.4193915218587906,0.0001,0.0,train,pretrain
10.0,0.0,0.4144937287677418,0.0001,0.0,valid,pretrain
11.0,0.0,0.40049485649381367,0.0001,0.0,train,pretrain
11.0,0.0,0.39302932674234564,0.0001,0.0,valid,pretrain
12.0,0.0,0.38246538147093756,0.0001,0.0,train,pretrain
12.0,0.0,0.3747116679495031,0.0001,0.0,valid,pretrain
13.0,0.0,0.36534285450738574,0.0001,0.0,train,pretrain
13.0,0.0,0.35754615339365875,0.0001,0.0,valid,pretrain
14.0,0.0,0.3490620085171291,0.0001,0.0,train,pretrain
14.0,0.0,0.3418596088886261,0.0001,0.0,valid,pretrain
15.0,0.0,0.33343323024492416,0.0001,0.0,train,pretrain
15.0,0.0,0.32697033340280707,0.0001,0.0,valid,pretrain
16.0,0.0,0.31862114062384955,0.0001,0.0,train,pretrain
16.0,0.0,0.3199238695881583,0.0001,0.0,valid,pretrain
17.0,0.0,0.304576360517078,0.0001,0.0,train,pretrain
17.0,0.0,0.2998590550639413,0.0001,0.0,valid,pretrain
18.0,0.0,0.29110968822524663,0.0001,0.0,train,pretrain
18.0,0.0,0.28528580882332544,0.0001,0.0,valid,pretrain
19.0,0.0,0.2783894553070977,0.0001,0.0,train,pretrain
19.0,0.0,0.27334799007935956,0.0001,0.0,valid,pretrain
20.0,0.0,0.26538188306112137,0.0001,0.0,train,pretrain
20.0,0.0,0.25770309838381683,0.0001,0.0,valid,pretrain
21.0,0.0,0.2534615056855338,0.0001,0.0,train,pretrain
21.0,0.0,0.24595018137585034,0.0001,0.0,valid,pretrain
22.0,0.0,0.24240569462851871,0.0001,0.0,train,pretrain
22.0,0.0,0.24062408913265576,0.0001,0.0,valid,pretrain
23.0,0.0,0.23188765465267122,0.0001,0.0,train,pretrain
23.0,0.0,0.2302117171612653,0.0001,0.0,valid,pretrain
24.0,0.0,0.22213392219846212,0.0001,0.0,train,pretrain
24.0,0.0,0.21847028894857926,0.0001,0.0,valid,pretrain
25.0,0.0,0.21288298094083394,0.0001,0.0,train,pretrain
25.0,0.0,0.20938040180639786,0.0001,0.0,valid,pretrain
26.0,0.0,0.2041478899736253,0.0001,0.0,train,pretrain
26.0,0.0,0.20327303219925275,0.0001,0.0,valid,pretrain
27.0,0.0,0.196086092127694,0.0001,0.0,train,pretrain
27.0,0.0,0.1935088648037477,0.0001,0.0,valid,pretrain
28.0,0.0,0.18823479612668356,0.0001,0.0,train,pretrain
28.0,0.0,0.18620698695833032,0.0001,0.0,valid,pretrain
29.0,0.0,0.18097917002344888,0.0001,0.0,train,pretrain
29.0,0.0,0.17896133661270142,0.0001,0.0,valid,pretrain
30.0,0.0,0.17397488771923006,0.0001,0.0,train,pretrain
30.0,0.0,0.16893926127390427,0.0001,0.0,valid,pretrain
31.0,0.0,0.16757079793347252,0.0001,0.0,train,pretrain
31.0,0.0,0.1697468635710803,0.0001,0.0,valid,pretrain
32.0,0.0,0.16146956407834614,0.0001,0.0,train,pretrain
32.0,0.0,0.16125365685332904,0.0001,0.0,valid,pretrain
33.0,0.0,0.15586090773817093,0.0001,0.0,train,pretrain
33.0,0.0,0.15468087521466342,0.0001,0.0,valid,pretrain
34.0,0.0,0.15038283524059115,0.0001,0.0,train,pretrain
34.0,0.0,0.1504780433394692,0.0001,0.0,valid,pretrain
35.0,0.0,0.1455784695489066,0.0001,0.0,train,pretrain
35.0,0.0,0.14486517960375006,0.0001,0.0,valid,pretrain
36.0,0.0,0.14085744392304195,0.0001,0.0,train,pretrain
36.0,0.0,0.14069493385878476,0.0001,0.0,valid,pretrain
37.0,0.0,0.13624263590290434,0.0001,0.0,train,pretrain
37.0,0.0,0.1364514638077129,0.0001,0.0,valid,pretrain
38.0,0.0,0.13218365810693256,0.0001,0.0,train,pretrain
38.0,0.0,0.1309101337736303,0.0001,0.0,valid,pretrain
39.0,0.0,0.12828708984076032,0.0001,0.0,train,pretrain
39.0,0.0,0.12784465266899628,0.0001,0.0,valid,pretrain
40.0,0.0,0.12462014444763699,0.0001,0.0,train,pretrain
40.0,0.0,0.12641741199926895,0.0001,0.0,valid,pretrain
41.0,0.0,0.12073570643625563,0.0001,0.0,train,pretrain
41.0,0.0,0.11978248100389134,0.0001,0.0,valid,pretrain
42.0,0.0,0.11708855995583156,0.0001,0.0,train,pretrain
42.0,0.0,0.11634863642129031,0.0001,0.0,valid,pretrain
43.0,0.0,0.11411174268476547,0.0001,0.0,train,pretrain
43.0,0.0,0.1116136143153364,0.0001,0.0,valid,pretrain
44.0,0.0,0.11103952214831397,0.0001,0.0,train,pretrain
44.0,0.0,0.11021408845077861,0.0001,0.0,valid,pretrain
45.0,0.0,0.10809424803370521,0.0001,0.0,train,pretrain
45.0,0.0,0.1083600798791105,0.0001,0.0,valid,pretrain
46.0,0.0,0.10524679767707038,0.0001,0.0,train,pretrain
46.0,0.0,0.1060179817405614,0.0001,0.0,valid,pretrain
47.0,0.0,0.10260780061048175,0.0001,0.0,train,pretrain
47.0,0.0,0.10372002829204906,0.0001,0.0,valid,pretrain
48.0,0.0,0.1002504677763061,0.0001,0.0,train,pretrain
48.0,0.0,0.10080867870287462,0.0001,0.0,valid,pretrain
49.0,0.0,0.09797651758269658,0.0001,0.0,train,pretrain
49.0,0.0,0.09963845393874428,0.0001,0.0,valid,pretrain
50.0,0.0,0.09593049909860368,0.0001,0.0,train,pretrain
50.0,0.0,0.09673139927062122,0.0001,0.0,valid,pretrain
51.0,0.0,0.09408136480857456,0.0001,0.0,train,pretrain
51.0,0.0,0.0967355499213392,0.0001,0.0,valid,pretrain
52.0,0.0,0.09234129034337543,0.0001,0.0,train,pretrain
52.0,0.0,0.09177573296156796,0.0001,0.0,valid,pretrain
53.0,0.0,0.09084685655340316,0.0001,0.0,train,pretrain
53.0,0.0,0.09209961037744176,0.0001,0.0,valid,pretrain
54.0,0.0,0.08936788283643268,0.0001,0.0,train,pretrain
54.0,0.0,0.09067200869321823,0.0001,0.0,valid,pretrain
