acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,prec,prec_labels,recall,recall_labels,train_mode,train_type
0.7395,"[0.7485, 0.7305]",0.551736746430397,0.0,0.0,0.0,0.15753807335315823,"[0.26569343065693385, 0.04938271604938258]",0.551736746430397,0.0001,0.39053847060209734,"[0.4396135265700483, 0.34146341463414637]",0.10849626930970298,"[0.1903765690376569, 0.026615969581749048]",train,baseline
0.7483164983164983,"[0.7710437710437711, 0.7255892255892256]",0.5351791212956111,0.0,0.0,0.0,0.33275234029219336,"[0.4380165289256193, 0.22748815165876737]",0.5351791212956111,0.0001,0.44467754467754467,"[0.452991452991453, 0.43636363636363634]",0.28892307692307695,"[0.424, 0.15384615384615385]",valid,baseline
0.7602500000000001,"[0.785, 0.7355]",0.5341617929935455,0.0,1.0,0.0,0.2637898538614373,"[0.3821839080459766, 0.14539579967689795]",0.516586839556694,0.0001,0.5469813554306008,"[0.6100917431192661, 0.4838709677419355]",0.18189700431137343,"[0.27824267782426776, 0.08555133079847908]",train,baseline
0.7474747474747474,"[0.7727272727272727, 0.7222222222222222]",0.5369164610902468,0.0,1.0,0.0,0.3346508563899864,"[0.46640316205533544, 0.20289855072463733]",0.5386538008848826,0.0001,0.43635110294117646,"[0.4609375, 0.4117647058823529]",0.3033076923076923,"[0.472, 0.1346153846153846]",valid,baseline
0.7725,"[0.807, 0.738]",0.520580993493398,0.0,2.0,0.0,0.3383814952279953,"[0.47554347826086907, 0.20121951219512163]",0.493419394493103,0.0001,0.5929934406678592,"[0.6782945736434108, 0.5076923076923077]",0.24579203589099063,"[0.36610878661087864, 0.12547528517110265]",train,baseline
0.776936026936027,"[0.8181818181818182, 0.7356902356902357]",0.5211259232627021,0.0,2.0,0.0,0.33763723519406175,"[0.3793103448275858, 0.29596412556053764]",0.48954484760761263,0.0001,0.5830033505939689,"[0.673469387755102, 0.4925373134328358]",0.2377692307692308,"[0.264, 0.21153846153846154]",valid,baseline
0.777,"[0.8135, 0.7405]",0.5093021374195814,0.0,3.0,0.0,0.3922540311122107,"[0.5124183006535943, 0.2720897615708271]",0.47546556919813154,0.0001,0.6008217034041998,"[0.6829268292682927, 0.5187165775401069]",0.2972262436960084,"[0.4100418410041841, 0.1844106463878327]",train,baseline
0.765993265993266,"[0.7912457912457912, 0.7407407407407407]",0.5177123874425889,0.0,3.0,0.0,0.2936666666666663,"[0.5039999999999994, 0.0833333333333332]",0.5074717799822489,0.0001,0.5436666666666666,"[0.504, 0.5833333333333333]",0.2744358974358974,"[0.504, 0.04487179487179487]",valid,baseline
0.7942499999999999,"[0.824, 0.7645]",0.49706085538864136,0.0,4.0,0.0,0.46390074220882926,"[0.5532994923857864, 0.3745019920318721]",0.4480957272648811,0.0001,0.6621855904504761,"[0.7032258064516129, 0.6211453744493393]",0.36206389105429787,"[0.4560669456066946, 0.26806083650190116]",train,baseline
0.7803030303030303,"[0.8249158249158249, 0.7356902356902357]",0.5157561516761779,0.0,4.0,0.0,0.32911151059541277,"[0.40229885057471226, 0.25592417061611333]",0.5079312086105346,0.0001,0.6025974025974026,"[0.7142857142857143, 0.4909090909090909]",0.22653846153846155,"[0.28, 0.17307692307692307]",valid,baseline
0.7935,"[0.821, 0.766]",0.4896190679073334,0.0,5.0,0.0,0.4790073162620547,"[0.5386597938144324, 0.419354838709677]",0.4524101305007935,0.0001,0.6524568552253116,"[0.7013422818791947, 0.6035714285714285]",0.3792656346946243,"[0.4372384937238494, 0.32129277566539927]",train,baseline
0.7508417508417509,"[0.8063973063973064, 0.6952861952861953]",0.5126806899905205,0.0,5.0,0.0,0.3944009155735535,"[0.37837837837837796, 0.4104234527687291]",0.49730338156223297,0.0001,0.5002759381898455,"[0.5833333333333334, 0.41721854304635764]",0.34192307692307694,"[0.28, 0.40384615384615385]",valid,baseline
0.80725,"[0.838, 0.7765]",0.4804039667759623,0.0,6.0,0.0,0.5174645707923683,"[0.5888324873096441, 0.44609665427509254]",0.42511335998773575,0.0001,0.6944782458959936,"[0.7483870967741936, 0.6405693950177936]",0.4137804858647406,"[0.48535564853556484, 0.34220532319391633]",train,baseline
0.7878787878787878,"[0.835016835016835, 0.7407407407407407]",0.5127635273195449,0.0,6.0,0.0,0.3122909698996652,"[0.4615384615384611, 0.16304347826086932]",0.513260551293691,0.0001,0.6362781954887218,"[0.7368421052631579, 0.5357142857142857]",0.21607692307692308,"[0.336, 0.09615384615384616]",valid,baseline
0.8109999999999999,"[0.8455, 0.7765]",0.4736371072754264,0.0,7.0,0.0,0.5344036384928574,"[0.6227106227106223, 0.44609665427509254]",0.42626909077167513,0.0001,0.6941849907640287,"[0.7478005865102639, 0.6405693950177936]",0.4378390632705983,"[0.5334728033472803, 0.34220532319391633]",train,baseline
0.7575757575757576,"[0.7996632996632996, 0.7154882154882155]",0.5110774589081605,0.0,7.0,0.0,0.4437732978318747,"[0.5020920502092044, 0.38545454545454494]",0.49927498002847037,0.0001,0.48584697036709423,"[0.5263157894736842, 0.44537815126050423]",0.40987179487179487,"[0.48, 0.33974358974358976]",valid,baseline
0.81725,"[0.8475, 0.787]",0.46664365467098023,0.0,8.0,0.0,0.5572822657568415,"[0.6303030303030298, 0.4842615012106532]",0.4106960338354111,0.0001,0.707973102785783,"[0.7492795389048992, 0.6666666666666666]",0.4620805956377173,"[0.5439330543933054, 0.38022813688212925]",train,baseline
0.7676767676767677,"[0.8047138047138047, 0.7306397306397306]",0.5130509527745071,0.0,8.0,0.0,0.4056087551299584,"[0.43137254901960737, 0.37984496124030953]",0.5288389037052791,0.0001,0.5186770910896004,"[0.5569620253164557, 0.4803921568627451]",0.33305128205128204,"[0.352, 0.3141025641025641]",valid,baseline
0.8142499999999999,"[0.849, 0.7795]",0.46105857960879804,0.0,9.0,0.0,0.5604974532580533,"[0.6343825665859559, 0.48661233993015074]",0.4107929040491581,0.0001,0.6902505954230092,"[0.7528735632183908, 0.6276276276276276]",0.4727277789267703,"[0.5481171548117155, 0.3973384030418251]",train,baseline
0.7685185185185186,"[0.8131313131313131, 0.7239057239057239]",0.5124447896083196,0.0,9.0,0.0,0.4516911400758946,"[0.4688995215311, 0.4344827586206892]",0.5069893211126327,0.0001,0.5267412935323383,"[0.5833333333333334, 0.4701492537313433]",0.39792307692307693,"[0.392, 0.40384615384615385]",valid,baseline
0.8265,"[0.8545, 0.7985]",0.4542813582176512,0.0,10.0,0.0,0.5941870398633143,"[0.6564344746162923, 0.5319396051103363]",0.3865091443061829,0.0001,0.7184848117137888,"[0.7533875338753387, 0.6835820895522388]",0.5084755874445169,"[0.5815899581589958, 0.435361216730038]",train,baseline
0.7542087542087542,"[0.8097643097643098, 0.6986531986531986]",0.5164916402462757,0.0,10.0,0.0,0.4742931443962366,"[0.5637065637065631, 0.3848797250859101]",0.5569601466258367,0.0001,0.4797954671089,"[0.5447761194029851, 0.4148148148148148]",0.47148717948717944,"[0.584, 0.358974358974359]",valid,baseline
0.833,"[0.8605, 0.8055]",0.44802563268691303,0.0,11.0,0.0,0.626116211438672,"[0.6736842105263152, 0.5785482123510287]",0.37921265184879305,0.0001,0.7182349050237524,"[0.7639257294429708, 0.672544080604534]",0.5550575114943443,"[0.602510460251046, 0.5076045627376425]",train,baseline
0.7735690235690236,"[0.8215488215488216, 0.7255892255892256]",0.5168011227001746,0.0,11.0,0.0,0.43656006604213726,"[0.522522522522522, 0.3505976095617525]",0.520205429693063,0.0001,0.5305480195333695,"[0.5979381443298969, 0.4631578947368421]",0.37302564102564106,"[0.464, 0.28205128205128205]",valid,baseline
0.8255,"[0.8505, 0.8005]",0.44289911375595975,0.0,12.0,0.0,0.5924357470625753,"[0.6419161676646701, 0.5429553264604805]",0.38138088658452035,0.0001,0.7168486991338322,"[0.7507002801120448, 0.6829971181556196]",0.5056198991361345,"[0.5606694560669456, 0.4505703422053232]",train,baseline
0.7777777777777778,"[0.8198653198653199, 0.7356902356902357]",0.518110506924299,0.0,12.0,0.0,0.43118445345362444,"[0.49289099526066293, 0.3694779116465859]",0.5338231176137924,0.0001,0.5496374093523381,"[0.6046511627906976, 0.4946236559139785]",0.35543589743589743,"[0.416, 0.2948717948717949]",valid,baseline
0.83975,"[0.8665, 0.813]",0.43762082348976816,0.0,13.0,0.0,0.6354391105748507,"[0.6855123674911655, 0.585365853658536]",0.3690030500292778,0.0001,0.7432471181969376,"[0.784366576819407, 0.7021276595744681]",0.5553438757815359,"[0.608786610878661, 0.5019011406844106]",train,baseline
0.7803030303030303,"[0.8249158249158249, 0.7356902356902357]",0.5232991646088305,0.0,13.0,0.0,0.43895219772088145,"[0.5517241379310338, 0.32618025751072915]",0.5907517145077388,0.0001,0.5458186673139944,"[0.5981308411214953, 0.4935064935064935]",0.3777948717948718,"[0.512, 0.24358974358974358]",valid,baseline
0.8435,"[0.8705, 0.8165]",0.432207429766655,0.0,14.0,0.0,0.6569949316039017,"[0.707344632768361, 0.6066452304394422]",0.35641991764307024,0.0001,0.7321867321867321,"[0.769041769041769, 0.6953316953316954]",0.5964172645846922,"[0.6548117154811716, 0.5380228136882129]",train,baseline
0.7777777777777778,"[0.8367003367003367, 0.7188552188552189]",0.5252927135427793,0.0,14.0,0.0,0.4101230604601387,"[0.4457142857142853, 0.3745318352059921]",0.5532023986180623,0.0001,0.6152252252252253,"[0.78, 0.45045045045045046]",0.31625641025641027,"[0.312, 0.32051282051282054]",valid,baseline
0.849,"[0.866, 0.832]",0.42695490719750523,0.0,15.0,0.0,0.6699113891689292,"[0.6890951276102083, 0.6507276507276502]",0.34816706866025926,0.0001,0.7456637041284404,"[0.7734375, 0.7178899082568807]",0.6081979731772118,"[0.6213389121338913, 0.5950570342205324]",train,baseline
0.7617845117845118,"[0.7895622895622896, 0.734006734006734]",0.5286373937812944,0.0,15.0,0.0,0.4757347915242647,"[0.5454545454545449, 0.4060150375939845]",0.5788075973590215,0.0001,0.4954545454545455,"[0.5, 0.4909090909090909]",0.47307692307692306,"[0.6, 0.34615384615384615]",valid,baseline
0.84825,"[0.8855, 0.811]",0.42146775782984847,0.0,16.0,0.0,0.6719993198387446,"[0.7452725250278082, 0.5987261146496811]",0.33367336794734004,0.0001,0.7368045404714051,"[0.7957244655581948, 0.6778846153846154]",0.6184792465437421,"[0.700836820083682, 0.5361216730038023]",train,baseline
0.760942760942761,"[0.8215488215488216, 0.7003367003367004]",0.532431899887674,0.0,16.0,0.0,0.47289400601712517,"[0.5431034482758615, 0.40268456375838874]",0.5931439975897471,0.0001,0.5056601289982887,"[0.5887850467289719, 0.4225352112676056]",0.4443076923076923,"[0.504, 0.38461538461538464]",valid,baseline
0.85325,"[0.8815, 0.825]",0.4167346347371737,0.0,17.0,0.0,0.6808331542374091,"[0.7340067340067336, 0.6276595744680845]",0.33627154216170313,0.0001,0.7521639704764245,"[0.7917675544794189, 0.7125603864734299]",0.6224684601555912,"[0.6841004184100419, 0.5608365019011406]",train,baseline
0.7441077441077442,"[0.8215488215488216, 0.6666666666666666]",0.5351762073735397,0.0,17.0,0.0,0.4913317572892036,"[0.5092592592592587, 0.4734042553191484]",0.581829434633255,0.0001,0.5044705294705294,"[0.6043956043956044, 0.40454545454545454]",0.5052564102564102,"[0.44, 0.5705128205128205]",valid,baseline
0.86225,"[0.8845, 0.84]",0.41094147969233363,0.0,18.0,0.0,0.7088200000453675,"[0.7395715896279589, 0.6780684104627761]",0.3066646888852119,0.0001,0.7610207301527595,"[0.8019559902200489, 0.7200854700854701]",0.6634384396328173,"[0.6861924686192469, 0.6406844106463878]",train,baseline
0.7575757575757576,"[0.8198653198653199, 0.6952861952861953]",0.5407997806082692,0.0,18.0,0.0,0.42679003084104306,"[0.5023255813953482, 0.35125448028673784]",0.642024098833402,0.0001,0.49918699186991866,"[0.6, 0.3983739837398374]",0.373051282051282,"[0.432, 0.3141025641025641]",valid,baseline
0.8752500000000001,"[0.896, 0.8545]",0.40512449092417957,0.0,19.0,0.0,0.7300779234243888,"[0.7694013303769397, 0.6907545164718378]",0.29460170432925226,0.0001,0.8007643782677881,"[0.8183962264150944, 0.7831325301204819]",0.6719060725138012,"[0.7259414225941423, 0.6178707224334601]",train,baseline
0.7508417508417509,"[0.7828282828282829, 0.7188552188552189]",0.5442773377647002,0.0,19.0,0.0,0.4281229621316667,"[0.4463519313304716, 0.4098939929328617]",0.6103509237368901,0.0001,0.4690871974336541,"[0.48148148148148145, 0.4566929133858268]",0.39389743589743587,"[0.416, 0.3717948717948718]",valid,baseline
0.86425,"[0.8875, 0.841]",0.40086647193701497,0.0,20.0,0.0,0.7072563559322029,"[0.7457627118644063, 0.6687499999999994]",0.3157060921937227,0.0001,0.7752210736081704,"[0.8108108108108109, 0.7396313364055299]",0.6503213643667372,"[0.6903765690376569, 0.6102661596958175]",train,baseline
0.7735690235690236,"[0.8215488215488216, 0.7255892255892256]",0.5476877497065635,0.0,20.0,0.0,0.41253924646781737,"[0.49038461538461475, 0.33469387755102]",0.6158959885438283,0.0001,0.537565994314336,"[0.6144578313253012, 0.4606741573033708]",0.3354102564102564,"[0.408, 0.26282051282051283]",valid,baseline
0.8725,"[0.8975, 0.8475]",0.39623433705419303,0.0,21.0,0.0,0.7284648410397779,"[0.7678369195922985, 0.6890927624872574]",0.29895950451493264,0.0001,0.78994708994709,"[0.837037037037037, 0.7428571428571429]",0.6758952861256503,"[0.7092050209205021, 0.6425855513307985]",train,baseline
0.7297979797979798,"[0.8047138047138047, 0.6548821548821548]",0.5516610262746161,0.0,21.0,0.0,0.42851144521197293,"[0.49565217391304295, 0.3613707165109029]",0.6350998342037201,0.0001,0.44718614718614713,"[0.5428571428571428, 0.3515151515151515]",0.4138974358974359,"[0.456, 0.3717948717948718]",valid,baseline
0.88,"[0.909, 0.851]",0.3914561989449936,0.0,22.0,0.0,0.7446869391641938,"[0.8004385964912275, 0.6889352818371601]",0.2863371605426073,0.0001,0.8024513568868408,"[0.8410138248847926, 0.7638888888888888]",0.695487376107673,"[0.7635983263598326, 0.6273764258555133]",train,baseline
0.7601010101010102,"[0.8484848484848485, 0.6717171717171717]",0.5552056003091992,0.0,22.0,0.0,0.4722430256506267,"[0.5408163265306117, 0.4036697247706417]",0.6331862290700276,0.0001,0.5662218927600692,"[0.7464788732394366, 0.38596491228070173]",0.42353846153846153,"[0.424, 0.4230769230769231]",valid,baseline
