acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,prec,prec_labels,recall,recall_labels,train_mode,train_type
0.7290625,"[0.745625, 0.7125]",0.556694558635354,0.0,0.0,0.0,0.18867559680765,"[0.18436873747494956, 0.19298245614035048]",0.556694558635354,0.0001,0.38616840998071644,"[0.42201834862385323, 0.3503184713375796]",0.12556031539082385,"[0.11794871794871795, 0.13317191283292978]",train,pretrain
0.7324999999999999,"[0.755, 0.71]",0.5594407454133034,0.0,0.0,0.0,0.2689393939393936,"[0.4166666666666662, 0.12121212121212097]",0.5594407454133034,0.0001,0.4292763157894737,"[0.4375, 0.42105263157894735]",0.23426186645213193,"[0.3977272727272727, 0.07079646017699115]",valid,pretrain
0.7603125,"[0.783125, 0.7375]",0.5385232599452138,0.0,1.0,0.0,0.26623723238501895,"[0.37924865831842525, 0.15322580645161263]",0.5203519612550735,0.0001,0.5425251301062237,"[0.6272189349112426, 0.4578313253012048]",0.181902278512448,"[0.2717948717948718, 0.09200968523002422]",train,pretrain
0.76625,"[0.8125, 0.72]",0.5424126736819744,0.0,1.0,0.0,0.21876347951114278,"[0.2990654205607473, 0.13846153846153822]",0.5253846019506454,0.0001,0.6857585139318885,"[0.8421052631578947, 0.5294117647058824]",0.13073209975864844,"[0.18181818181818182, 0.07964601769911504]",valid,pretrain
0.7646875,"[0.79, 0.739375]",0.5244857588162025,0.0,2.0,0.0,0.3243643263757112,"[0.43999999999999956, 0.20872865275142283]",0.49641075655817984,0.0001,0.5555137844611528,"[0.6285714285714286, 0.4824561403508772]",0.23581672564723413,"[0.3384615384615385, 0.13317191283292978]",train,pretrain
0.76625,"[0.8225, 0.71]",0.5283932735522588,0.0,2.0,0.0,0.3790123456790119,"[0.4740740740740736, 0.2839506172839502]",0.5003544732928276,0.0001,0.575119409465914,"[0.6808510638297872, 0.46938775510204084]",0.2835880933226066,"[0.36363636363636365, 0.20353982300884957]",valid,pretrain
0.785625,"[0.813125, 0.758125]",0.5092794082127512,0.0,3.0,0.0,0.4175542266225368,"[0.5200642054574633, 0.3150442477876102]",0.46366035640239717,0.0001,0.6404026428732776,"[0.6952789699570815, 0.5855263157894737]",0.31544049171167815,"[0.4153846153846154, 0.21549636803874092]",train,pretrain
0.7675,"[0.825, 0.71]",0.5296728108078241,0.0,3.0,0.0,0.3426587301587297,"[0.5138888888888883, 0.17142857142857115]",0.5335114225745201,0.0001,0.5525793650793651,"[0.6607142857142857, 0.4444444444444444]",0.2633246178600161,"[0.42045454545454547, 0.10619469026548672]",valid,pretrain
0.7915625,"[0.816875, 0.76625]",0.4982781319320202,0.0,4.0,0.0,0.45485714587827214,"[0.5414710485133015, 0.36824324324324276]",0.4542730268090963,0.0001,0.6518588319759484,"[0.6947791164658634, 0.6089385474860335]",0.3537561308747749,"[0.44358974358974357, 0.2639225181598063]",train,pretrain
0.75875,"[0.82, 0.6975]",0.5300221759080886,0.0,4.0,0.0,0.29695087521174435,"[0.34545454545454507, 0.24844720496894368]",0.5314196363091469,0.0001,0.6401515151515151,"[0.8636363636363636, 0.4166666666666667]",0.19645012067578438,"[0.2159090909090909, 0.17699115044247787]",valid,pretrain
0.79,"[0.8175, 0.7625]",0.49022583750387033,0.0,5.0,0.0,0.45925857198820597,"[0.5394321766561508, 0.37908496732026103]",0.449964365363121,0.0001,0.6418671224977346,"[0.7008196721311475, 0.5829145728643216]",0.35966660458185884,"[0.43846153846153846, 0.28087167070217917]",train,pretrain
0.7275,"[0.78, 0.675]",0.5387519136071205,0.0,5.0,0.0,0.4263157894736837,"[0.5368421052631573, 0.31578947368421006]",0.5824006021022796,0.0001,0.4448051948051948,"[0.5, 0.38961038961038963]",0.4225160901045857,"[0.5795454545454546, 0.26548672566371684]",valid,pretrain
