acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,prec,prec_labels,recall,recall_labels,train_mode,train_type
0.8665,"[0.876, 0.857]",0.42561553388834,0.5104844063520432,0.0,0.0,0.760625936063626,"[0.76865671641791, 0.752595155709342]",0.936099938750267,0.0001,0.692039442039442,"[0.6936026936026936, 0.6904761904761905]",0.8444604419555499,"[0.8619246861924686, 0.8269961977186312]",train,ynet
0.7432659932659933,"[0.7794612794612794, 0.7070707070707071]",0.6159102648496628,0.4124683847030004,0.0,0.0,0.4369037354323695,"[0.4279475982532746, 0.4458598726114644]",1.0283786475658416,0.0001,0.45709591041869524,"[0.47115384615384615, 0.4430379746835443]",0.4203589743589744,"[0.392, 0.44871794871794873]",valid,ynet
0.88575,"[0.8915, 0.88]",0.38556245505809783,0.4443932484090328,1.0,0.0,0.7824023412647915,"[0.7862068965517236, 0.7785977859778593]",0.7238114619255066,0.0001,0.7496445806051141,"[0.7430167597765364, 0.7562724014336918]",0.8185047011470481,"[0.8347280334728033, 0.8022813688212928]",train,ynet
0.7542087542087542,"[0.8063973063973064, 0.702020202020202]",0.6183043926954269,0.37307632317145667,1.0,0.0,0.46542416630816363,"[0.522821576763485, 0.40802675585284226]",0.9543827811876933,0.0001,0.48483843742464433,"[0.5431034482758621, 0.42657342657342656]",0.4475128205128205,"[0.504, 0.391025641025641]",valid,ynet
0.89975,"[0.903, 0.8965]",0.3638062632580598,0.4000407999753952,2.0,0.0,0.8037670182166821,"[0.8059999999999994, 0.8015340364333647]",0.6316297844052314,0.0001,0.7902706448194342,"[0.7720306513409961, 0.8085106382978723]",0.8188865201966369,"[0.8430962343096234, 0.7946768060836502]",train,ynet
0.7323232323232323,"[0.7777777777777778, 0.6868686868686869]",0.621886226038138,0.3412033441993925,2.0,0.0,0.48379629629629584,"[0.5416666666666662, 0.42592592592592543]",0.90650727947553,0.0001,0.44462094653812445,"[0.4785276073619632, 0.4107142857142857]",0.5331538461538461,"[0.624, 0.4423076923076923]",valid,ynet
0.906,"[0.922, 0.89]",0.3439477266743779,0.3635385728627443,3.0,0.0,0.8148318874153915,"[0.8368200836820077, 0.7928436911487753]",0.5384040081501007,0.0001,0.8111339224380191,"[0.8368200836820083, 0.7854477611940298]",0.8186001559094452,"[0.8368200836820083, 0.8003802281368821]",train,ynet
0.7575757575757576,"[0.8181818181818182, 0.696969696969697]",0.6076436702162027,0.31218996706108254,3.0,0.0,0.42772861356932096,"[0.5221238938053091, 0.3333333333333328]",0.7900658398866653,0.0001,0.48944762897342364,"[0.5841584158415841, 0.39473684210526316]",0.3802307692307692,"[0.472, 0.28846153846153844]",valid,ynet
0.91675,"[0.929, 0.9045]",0.32607412537932395,0.3331153770983219,4.0,0.0,0.8360656379498999,"[0.854209445585215, 0.8179218303145847]",0.46600231498479844,0.0001,0.8294886819219145,"[0.8387096774193549, 0.8202676864244742]",0.842941120320728,"[0.8702928870292888, 0.8155893536121673]",train,ynet
0.7769360269360269,"[0.8232323232323232, 0.7306397306397306]",0.5941830357909202,0.2873991761604945,4.0,0.0,0.44760614272809346,"[0.48780487804878, 0.40740740740740694]",0.7285765131314595,0.0001,0.5537280701754386,"[0.625, 0.4824561403508772]",0.3762820512820513,"[0.4, 0.3525641025641026]",valid,ynet
0.9232499999999999,"[0.941, 0.9055]",0.31067182147254546,0.3071196104834477,5.0,0.0,0.8460096307266816,"[0.8760504201680667, 0.8159688412852963]",0.4108010792732239,0.0001,0.8580370903762096,"[0.879746835443038, 0.8363273453093812]",0.8344814420032773,"[0.8723849372384938, 0.7965779467680608]",train,ynet
