mask_use,freeze_mode,lr,exp,cell_size,prob,train_mode,epoch,loss,prec,recall,acc,f1
True,False,0.0001,0,28,0.2,train,0,0.5778307914733887,0.7280788177339902,0.5615501519756839,0.6281604184829991,0.6340626340626341
True,False,0.0001,0,28,0.2,valid,0,0.639277458190918,0.7427652733118971,0.6581196581196581,0.6666666666666666,0.6978851963746223
True,False,0.0001,0,28,0.2,train,1,0.5537987947463989,0.7383966244725738,0.7978723404255319,0.7218831734960767,0.766983199415632
True,False,0.0001,0,28,0.2,valid,1,0.5622410178184509,0.6768149882903981,0.8233618233618234,0.6666666666666666,0.74293059125964
True,False,0.0001,0,28,0.2,train,2,0.5647974014282227,0.7245657568238213,0.8875379939209727,0.7419354838709677,0.7978142076502731
True,False,0.0001,0,28,0.2,valid,2,0.6341237425804138,0.6567164179104478,0.8774928774928775,0.66,0.751219512195122
True,False,0.0001,0,28,0.2,train,3,0.5199410319328308,0.7281203007518797,0.9198328267477204,0.756974716652136,0.8128252476078565
True,False,0.0001,0,28,0.2,valid,3,0.6578494310379028,0.6713286713286714,0.8205128205128205,0.66,0.7384615384615384
True,False,0.0001,0,28,0.2,train,4,0.5023704767227173,0.737063778580024,0.9308510638297872,0.7698343504795118,0.8226997985224982
True,False,0.0001,0,28,0.2,valid,4,0.6810736656188965,0.6592427616926503,0.8433048433048433,0.6533333333333333,0.7399999999999999
True,False,0.0001,0,28,0.2,train,5,0.4390604496002197,0.7371209891080365,0.9513677811550152,0.7774629468177855,0.8306518493945928
True,False,0.0001,0,28,0.2,valid,5,0.786167562007904,0.6622807017543859,0.8603988603988604,0.6616666666666666,0.7484510532837669
True,False,0.0001,0,28,0.2,train,6,0.4527634382247925,0.7390158172231986,0.9585866261398176,0.7820401046207498,0.8346013893483295
True,False,0.0001,0,28,0.2,valid,6,0.7221058011054993,0.6781609195402298,0.8404558404558404,0.6733333333333333,0.7506361323155216
True,False,0.0001,0,28,0.2,train,7,0.45986369252204895,0.7460456942003515,0.9677051671732523,0.7925021795989537,0.8425405226596097
True,False,0.0001,0,28,0.2,valid,7,0.7918009757995605,0.6830985915492958,0.8290598290598291,0.675,0.7490347490347491
