batch_size,epoch,exp,loss,lr,metric,normalization,pretrained,train_mode,train_type
40.0,0.0,0.0,0.11210601435105005,0.0001,0.7661397237459828,1.0,1.0,train,baseline
40.0,0.0,0.0,0.08414350118901995,0.0001,0.8509749350601973,1.0,1.0,valid,baseline
40.0,1.0,0.0,0.07469837935765584,0.0001,0.8786038697398333,1.0,1.0,train,baseline
40.0,1.0,0.0,0.07447996611396472,0.0001,0.8783517847541708,1.0,1.0,valid,baseline
40.0,2.0,0.0,0.06444749304652214,0.0001,0.9049938343525312,1.0,1.0,train,baseline
40.0,2.0,0.0,0.07496801363649191,0.0001,0.8778334834943144,1.0,1.0,valid,baseline
40.0,3.0,0.0,0.056162438015143076,0.0001,0.9248280379023318,1.0,1.0,train,baseline
40.0,3.0,0.0,0.07216851033822254,0.0001,0.8847562207963152,1.0,1.0,valid,baseline
40.0,4.0,0.0,0.049858471269408865,0.0001,0.9389149206369145,1.0,1.0,train,baseline
40.0,4.0,0.0,0.07310047807792823,0.0001,0.886761340156638,1.0,1.0,valid,baseline
40.0,5.0,0.0,0.04460090382397175,0.0001,0.9497825040830287,1.0,1.0,train,baseline
40.0,5.0,0.0,0.07693002028045831,0.0001,0.8811877926086789,1.0,1.0,valid,baseline
40.0,6.0,0.0,0.03927566730976105,0.0001,0.9600187972860776,1.0,1.0,train,baseline
40.0,6.0,0.0,0.07957163508291598,0.0001,0.884636506881109,1.0,1.0,valid,baseline
40.0,7.0,0.0,0.034972394920885566,0.0001,0.967553560795022,1.0,1.0,train,baseline
40.0,7.0,0.0,0.07948487410666766,0.0001,0.8832363598017153,1.0,1.0,valid,baseline
40.0,8.0,0.0,0.030812989763915537,0.0001,0.9744963123378291,1.0,1.0,train,baseline
40.0,8.0,0.0,0.08350127174829443,0.0001,0.877669149653602,1.0,1.0,valid,baseline
40.0,9.0,0.0,0.02744146291166544,0.0001,0.9793321881029912,1.0,1.0,train,baseline
40.0,9.0,0.0,0.08809457884894477,0.0001,0.8737336510316694,1.0,1.0,valid,baseline
40.0,10.0,0.0,0.023567072124530873,0.0001,0.9843712063550605,1.0,1.0,train,baseline
40.0,10.0,0.0,0.09073065883583492,0.0001,0.8783848657434148,1.0,1.0,valid,baseline
40.0,11.0,0.0,0.02164707445477446,0.0001,0.986624605726597,1.0,1.0,train,baseline
40.0,11.0,0.0,0.09732789594542098,0.0001,0.8689117654175659,1.0,1.0,valid,baseline
40.0,12.0,0.0,0.019137399515757957,0.0001,0.9893681357593251,1.0,1.0,train,baseline
40.0,12.0,0.0,0.09874752156988338,0.0001,0.8725713097297201,1.0,1.0,valid,baseline
40.0,13.0,0.0,0.017489137003198266,0.0001,0.9909638220042136,1.0,1.0,train,baseline
40.0,13.0,0.0,0.09667796006909123,0.0001,0.8792394925180415,1.0,1.0,valid,baseline
40.0,14.0,0.0,0.015673998874922594,0.0001,0.9925747246213833,1.0,1.0,train,baseline
40.0,14.0,0.0,0.1052246234483189,0.0001,0.8608792160908076,1.0,1.0,valid,baseline
40.0,15.0,0.0,0.01492377631055812,0.0001,0.9933290851593115,1.0,1.0,train,baseline
40.0,15.0,0.0,0.1071914346129806,0.0001,0.8676660221364488,1.0,1.0,valid,baseline
40.0,16.0,0.0,0.012993086410065491,0.0001,0.9947714528492422,1.0,1.0,train,baseline
40.0,16.0,0.0,0.11118124114970367,0.0001,0.8740987877925701,1.0,1.0,valid,baseline
40.0,17.0,0.0,0.01279268411360681,0.0001,0.9949399235618356,1.0,1.0,train,baseline
40.0,17.0,0.0,0.11471917218080273,0.0001,0.8688682021018408,1.0,1.0,valid,baseline
40.0,18.0,0.0,0.011642295963441332,0.0001,0.9957253861887353,1.0,1.0,train,baseline
40.0,18.0,0.0,0.11090308400215926,0.0001,0.8671527093387881,1.0,1.0,valid,baseline
40.0,19.0,0.0,0.011666245794855059,0.0001,0.9957810834770435,1.0,1.0,train,baseline
40.0,19.0,0.0,0.11279182494790466,0.0001,0.8665045633533734,1.0,1.0,valid,baseline
40.0,20.0,0.0,0.010701486942047873,0.0001,0.9963230164792118,1.0,1.0,train,baseline
40.0,20.0,0.0,0.11560766688651508,0.0001,0.8696173207926593,1.0,1.0,valid,baseline
40.0,21.0,0.0,0.010132311823156973,0.0001,0.9967229517673195,1.0,1.0,train,baseline
40.0,21.0,0.0,0.1158409293189093,0.0001,0.8672270848208746,1.0,1.0,valid,baseline
40.0,22.0,0.0,0.009470179635720949,0.0001,0.9971365754362675,1.0,1.0,train,baseline
40.0,22.0,0.0,0.11309925508168009,0.0001,0.8705723151981684,1.0,1.0,valid,baseline
40.0,23.0,0.0,0.008474582236881058,0.0001,0.9977417775312509,1.0,1.0,train,baseline
40.0,23.0,0.0,0.11996962585382992,0.0001,0.864283601846625,1.0,1.0,valid,baseline
40.0,24.0,0.0,0.009461119738407433,0.0001,0.9970803958104537,1.0,1.0,train,baseline
40.0,24.0,0.0,0.11897801863098587,0.0001,0.8636815493262281,1.0,1.0,valid,baseline
40.0,25.0,0.0,0.008811318723795314,0.0001,0.9975853992050587,1.0,1.0,train,baseline
40.0,25.0,0.0,0.12091384542657545,0.0001,0.8626185834133275,1.0,1.0,valid,baseline
40.0,26.0,0.0,0.0074379470931986965,0.0001,0.9982478089748302,1.0,1.0,train,baseline
40.0,26.0,0.0,0.12997245892054504,0.0001,0.8625906712409714,1.0,1.0,valid,baseline
40.0,27.0,0.0,0.008356404876336456,0.0001,0.9976717218534841,1.0,1.0,train,baseline
40.0,27.0,0.0,0.11961320215077312,0.0001,0.8662016269128009,1.0,1.0,valid,baseline
40.0,28.0,0.0,0.0078068772860181825,0.0001,0.997942078665856,1.0,1.0,train,baseline
40.0,28.0,0.0,0.12232468190982386,0.0001,0.8677736082453958,1.0,1.0,valid,baseline
40.0,29.0,0.0,0.007161365295760333,0.0001,0.9982243552931249,1.0,1.0,train,baseline
40.0,29.0,0.0,0.12985676954741832,0.0001,0.8599476160162347,1.0,1.0,valid,baseline
40.0,30.0,0.0,0.007997251502238213,0.0001,0.9978461353527011,1.0,1.0,train,baseline
40.0,30.0,0.0,0.1294141837430221,0.0001,0.8562419341356572,1.0,1.0,valid,baseline
40.0,31.0,0.0,0.007089993601509681,0.0001,0.9982790859021419,1.0,1.0,train,baseline
40.0,31.0,0.0,0.12873209302348118,0.0001,0.8673932824844772,1.0,1.0,valid,baseline
40.0,32.0,0.0,0.00576920802736034,0.0001,0.9988477155591949,1.0,1.0,train,baseline
40.0,32.0,0.0,0.1292615832278022,0.0001,0.8653454675341163,1.0,1.0,valid,baseline
40.0,33.0,0.0,0.006142123449749003,0.0001,0.9986904859791709,1.0,1.0,train,baseline
40.0,33.0,0.0,0.13420281869669756,0.0001,0.8597384260630188,1.0,1.0,valid,baseline
40.0,34.0,0.0,0.006816356250395377,0.0001,0.9983714423853893,1.0,1.0,train,baseline
40.0,34.0,0.0,0.12562999991631066,0.0001,0.8652627427015793,1.0,1.0,valid,baseline
40.0,35.0,0.0,0.006475567099483063,0.0001,0.9985384599396112,1.0,1.0,train,baseline
40.0,35.0,0.0,0.13674358347499813,0.0001,0.8598822506490644,1.0,1.0,valid,baseline
40.0,36.0,0.0,0.006467029085382819,0.0001,0.9984997951446044,1.0,1.0,train,baseline
40.0,36.0,0.0,0.13254085438394989,0.0001,0.8612723996560838,1.0,1.0,valid,baseline
40.0,37.0,0.0,0.005727907064603642,0.0001,0.998875383697529,1.0,1.0,train,baseline
40.0,37.0,0.0,0.12799619293461242,0.0001,0.8628166667101206,1.0,1.0,valid,baseline
40.0,38.0,0.0,0.005608565606642514,0.0001,0.9989673123905283,1.0,1.0,train,baseline
40.0,38.0,0.0,0.1392681724909279,0.0001,0.8556657627514788,1.0,1.0,valid,baseline
40.0,39.0,0.0,0.0058577762131268776,0.0001,0.9988319751326296,1.0,1.0,train,baseline
40.0,39.0,0.0,0.13224642580651022,0.0001,0.8572238636438978,1.0,1.0,valid,baseline
40.0,40.0,0.0,0.006566041996236891,0.0001,0.9984445850850392,1.0,1.0,train,baseline
40.0,40.0,0.0,0.1344334959845852,0.0001,0.8603571359504913,1.0,1.0,valid,baseline
40.0,41.0,0.0,0.00478190836077556,0.0001,0.9991535073949254,1.0,1.0,train,baseline
40.0,41.0,0.0,0.14643461781519432,0.0001,0.8558867191988582,1.0,1.0,valid,baseline
40.0,42.0,0.0,0.00502230439404957,0.0001,0.9991095236339648,1.0,1.0,train,baseline
40.0,42.0,0.0,0.1346086331953605,0.0001,0.8606252018087188,1.0,1.0,valid,baseline
40.0,43.0,0.0,0.004486123186691354,0.0001,0.9992991693407548,1.0,1.0,train,baseline
40.0,43.0,0.0,0.13671609059976483,0.0001,0.8587691285633084,1.0,1.0,valid,baseline
40.0,44.0,0.0,0.005047828378854319,0.0001,0.9990793613551351,1.0,1.0,train,baseline
40.0,44.0,0.0,0.1328605066432997,0.0001,0.8608993818435481,1.0,1.0,valid,baseline
40.0,45.0,0.0,0.005802494996382544,0.0001,0.9987370477425233,1.0,1.0,train,baseline
40.0,45.0,0.0,0.14205329837622466,0.0001,0.8590596852918171,1.0,1.0,valid,baseline
40.0,46.0,0.0,0.0052617011552987,0.0001,0.9989559993359582,1.0,1.0,train,baseline
40.0,46.0,0.0,0.14025180048688693,0.0001,0.855990045431045,1.0,1.0,valid,baseline
40.0,47.0,0.0,0.0044419410953608655,0.0001,0.9993496241336041,1.0,1.0,train,baseline
40.0,47.0,0.0,0.1404880688491243,0.0001,0.8574421178868129,1.0,1.0,valid,baseline
40.0,48.0,0.0,0.004361715785693377,0.0001,0.9992746239089695,1.0,1.0,train,baseline
40.0,48.0,0.0,0.14807037526258715,0.0001,0.8540040506061568,1.0,1.0,valid,baseline
