batch_size,epoch,exp,loss,lr,metric,normalization,pretrained,train_mode,train_type
40.0,0.0,0.0,0.7018453999171181,0.0001,0.0,1.0,1.0,train,pretrain
40.0,0.0,0.0,0.6797481666911732,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,1.0,0.0,0.6703402343250456,0.0001,0.0,1.0,1.0,train,pretrain
40.0,1.0,0.0,0.6617584878748114,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,2.0,0.0,0.6522685194772387,0.0001,0.0,1.0,1.0,train,pretrain
40.0,2.0,0.0,0.6435954624956305,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,3.0,0.0,0.6340290506680807,0.0001,0.0,1.0,1.0,train,pretrain
40.0,3.0,0.0,0.6234804771163247,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,4.0,0.0,0.6163643485023862,0.0001,0.0,1.0,1.0,train,pretrain
40.0,4.0,0.0,0.608438952402635,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,5.0,0.0,0.5968059698740641,0.0001,0.0,1.0,1.0,train,pretrain
40.0,5.0,0.0,0.5868477712978016,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,6.0,0.0,0.5742199402006846,0.0001,0.0,1.0,1.0,train,pretrain
40.0,6.0,0.0,0.564178694378246,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,7.0,0.0,0.5528700389559307,0.0001,0.0,1.0,1.0,train,pretrain
40.0,7.0,0.0,0.5454679402438077,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,8.0,0.0,0.5307199065647428,0.0001,0.0,1.0,1.0,train,pretrain
40.0,8.0,0.0,0.5218686894936995,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,9.0,0.0,0.5080774104784406,0.0001,0.0,1.0,1.0,train,pretrain
40.0,9.0,0.0,0.4975977133620869,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,10.0,0.0,0.4870032389012594,0.0001,0.0,1.0,1.0,train,pretrain
40.0,10.0,0.0,0.4781370759010315,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,11.0,0.0,0.46707559152254985,0.0001,0.0,1.0,1.0,train,pretrain
40.0,11.0,0.0,0.45625958659432153,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,12.0,0.0,0.4480412517275129,0.0001,0.0,1.0,1.0,train,pretrain
40.0,12.0,0.0,0.44029090350324457,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,13.0,0.0,0.42972825396628606,0.0001,0.0,1.0,1.0,train,pretrain
40.0,13.0,0.0,0.41900751807472925,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,14.0,0.0,0.4120520093138256,0.0001,0.0,1.0,1.0,train,pretrain
40.0,14.0,0.0,0.4041087112643502,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,15.0,0.0,0.39511715514319284,0.0001,0.0,1.0,1.0,train,pretrain
40.0,15.0,0.0,0.3860631124539809,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,16.0,0.0,0.37880362783159527,0.0001,0.0,1.0,1.0,train,pretrain
40.0,16.0,0.0,0.37054549293084577,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,17.0,0.0,0.3631790095851535,0.0001,0.0,1.0,1.0,train,pretrain
40.0,17.0,0.0,0.35405956344171,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,18.0,0.0,0.34820422009816243,0.0001,0.0,1.0,1.0,train,pretrain
40.0,18.0,0.0,0.3383790444244038,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,19.0,0.0,0.33392998055806233,0.0001,0.0,1.0,1.0,train,pretrain
40.0,19.0,0.0,0.3287519785490903,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,20.0,0.0,0.3201897574795617,0.0001,0.0,1.0,1.0,train,pretrain
40.0,20.0,0.0,0.3127101090821353,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,21.0,0.0,0.30693975895170184,0.0001,0.0,1.0,1.0,train,pretrain
40.0,21.0,0.0,0.2999120300466364,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,22.0,0.0,0.2944356430144537,0.0001,0.0,1.0,1.0,train,pretrain
40.0,22.0,0.0,0.2902932248332284,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,23.0,0.0,0.28236974799443804,0.0001,0.0,1.0,1.0,train,pretrain
40.0,23.0,0.0,0.277568058534102,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,24.0,0.0,0.2707509384268806,0.0001,0.0,1.0,1.0,train,pretrain
40.0,24.0,0.0,0.2644199945709922,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,25.0,0.0,0.259815063741472,0.0001,0.0,1.0,1.0,train,pretrain
40.0,25.0,0.0,0.25504128905859863,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,26.0,0.0,0.24859644236072662,0.0001,0.0,1.0,1.0,train,pretrain
40.0,26.0,0.0,0.24060662497173657,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,27.0,0.0,0.2370363109641605,0.0001,0.0,1.0,1.0,train,pretrain
40.0,27.0,0.0,0.23109112138097937,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,28.0,0.0,0.22622168679085988,0.0001,0.0,1.0,1.0,train,pretrain
40.0,28.0,0.0,0.22415589608929373,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,29.0,0.0,0.21615919589050234,0.0001,0.0,1.0,1.0,train,pretrain
40.0,29.0,0.0,0.21073658087036826,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,30.0,0.0,0.207011749347051,0.0001,0.0,1.0,1.0,train,pretrain
40.0,30.0,0.0,0.2045944251797416,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,31.0,0.0,0.19823772661269656,0.0001,0.0,1.0,1.0,train,pretrain
40.0,31.0,0.0,0.19525078209963712,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,32.0,0.0,0.19007565223035358,0.0001,0.0,1.0,1.0,train,pretrain
40.0,32.0,0.0,0.18856063756075772,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,33.0,0.0,0.18240196577140264,0.0001,0.0,1.0,1.0,train,pretrain
40.0,33.0,0.0,0.1791404214772311,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,34.0,0.0,0.1750916349036353,0.0001,0.0,1.0,1.0,train,pretrain
40.0,34.0,0.0,0.17346419935876672,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,35.0,0.0,0.16832248559073795,0.0001,0.0,1.0,1.0,train,pretrain
40.0,35.0,0.0,0.1666049279949882,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,36.0,0.0,0.16191756133995358,0.0001,0.0,1.0,1.0,train,pretrain
40.0,36.0,0.0,0.15845850651914423,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,37.0,0.0,0.15605712007908595,0.0001,0.0,1.0,1.0,train,pretrain
40.0,37.0,0.0,0.1550350162115964,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,38.0,0.0,0.15082497918416585,0.0001,0.0,1.0,1.0,train,pretrain
40.0,38.0,0.0,0.1500361900437962,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,39.0,0.0,0.14526262784761096,0.0001,0.0,1.0,1.0,train,pretrain
40.0,39.0,0.0,0.14679818668148734,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,40.0,0.0,0.14013239150009457,0.0001,0.0,1.0,1.0,train,pretrain
40.0,40.0,0.0,0.13773025301369754,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,41.0,0.0,0.13523124418561422,0.0001,0.0,1.0,1.0,train,pretrain
40.0,41.0,0.0,0.13436773012984882,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,42.0,0.0,0.13051953355944346,0.0001,0.0,1.0,1.0,train,pretrain
40.0,42.0,0.0,0.13020467554981058,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,43.0,0.0,0.12626555573845666,0.0001,0.0,1.0,1.0,train,pretrain
40.0,43.0,0.0,0.12590362470258365,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,44.0,0.0,0.12186580683503832,0.0001,0.0,1.0,1.0,train,pretrain
40.0,44.0,0.0,0.12184571745720776,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,45.0,0.0,0.11741225019333855,0.0001,0.0,1.0,1.0,train,pretrain
40.0,45.0,0.0,0.11920005895874718,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,46.0,0.0,0.1128717012821682,0.0001,0.0,1.0,1.0,train,pretrain
40.0,46.0,0.0,0.11239603703672235,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,47.0,0.0,0.10883733665659315,0.0001,0.0,1.0,1.0,train,pretrain
40.0,47.0,0.0,0.10794573548165234,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,48.0,0.0,0.1041850664076351,0.0001,0.0,1.0,1.0,train,pretrain
40.0,48.0,0.0,0.1035561818968166,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,49.0,0.0,0.10026168160968357,0.0001,0.0,1.0,1.0,train,pretrain
40.0,49.0,0.0,0.10210907865654338,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,50.0,0.0,0.09641818181862907,0.0001,0.0,1.0,1.0,train,pretrain
40.0,50.0,0.0,0.09501126408576965,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,51.0,0.0,0.09273081533019505,0.0001,0.0,1.0,1.0,train,pretrain
40.0,51.0,0.0,0.09337592869997025,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,52.0,0.0,0.08939912726008703,0.0001,0.0,1.0,1.0,train,pretrain
40.0,52.0,0.0,0.08891917291012677,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,53.0,0.0,0.08590077159423677,0.0001,0.0,1.0,1.0,train,pretrain
40.0,53.0,0.0,0.08664224296808243,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,54.0,0.0,0.08276632972179897,0.0001,0.0,1.0,1.0,train,pretrain
40.0,54.0,0.0,0.08313254741105167,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,55.0,0.0,0.08034759606160814,0.0001,0.0,1.0,1.0,train,pretrain
40.0,55.0,0.0,0.08176043426448648,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,56.0,0.0,0.07756803728758342,0.0001,0.0,1.0,1.0,train,pretrain
40.0,56.0,0.0,0.07952705161138014,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,57.0,0.0,0.07507522498804425,0.0001,0.0,1.0,1.0,train,pretrain
40.0,57.0,0.0,0.077684340829199,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,58.0,0.0,0.07386509518301676,0.0001,0.0,1.0,1.0,train,pretrain
40.0,58.0,0.0,0.07496661692857742,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,59.0,0.0,0.0714784428359024,0.0001,0.0,1.0,1.0,train,pretrain
40.0,59.0,0.0,0.07302283902059901,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,60.0,0.0,0.06828669523672452,0.0001,0.0,1.0,1.0,train,pretrain
40.0,60.0,0.0,0.06979542124000462,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,61.0,0.0,0.06631056018291957,0.0001,0.0,1.0,1.0,train,pretrain
40.0,61.0,0.0,0.06860517304052006,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,62.0,0.0,0.0640483010146353,0.0001,0.0,1.0,1.0,train,pretrain
40.0,62.0,0.0,0.06806570054455237,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,63.0,0.0,0.06186557507940701,0.0001,0.0,1.0,1.0,train,pretrain
40.0,63.0,0.0,0.06600058485161174,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,64.0,0.0,0.06046497543889379,0.0001,0.0,1.0,1.0,train,pretrain
