batch_size,epoch,exp,loss,lr,metric,normalization,pretrained,train_mode,train_type
40.0,0.0,0.0,0.28966854691505434,0.0001,0.5048029471410371,1.0,1.0,train,ynet
40.0,0.0,0.0,0.14495689421892166,0.0001,0.7656798212689668,1.0,1.0,valid,ynet
40.0,1.0,0.0,0.12510871535539628,0.0001,0.7896215127210982,1.0,1.0,train,ynet
40.0,1.0,0.0,0.10515199656839724,0.0001,0.8299882565617241,1.0,1.0,valid,ynet
40.0,2.0,0.0,0.09831988666454951,0.0001,0.8416806574962438,1.0,1.0,train,ynet
40.0,2.0,0.0,0.090954445509447,0.0001,0.848176981708666,1.0,1.0,valid,ynet
40.0,3.0,0.0,0.0848390051027139,0.0001,0.8689663332333966,1.0,1.0,train,ynet
40.0,3.0,0.0,0.08850788083617334,0.0001,0.8489728338188509,1.0,1.0,valid,ynet
40.0,4.0,0.0,0.07504082040985426,0.0001,0.8902263990374549,1.0,1.0,train,ynet
40.0,4.0,0.0,0.08475763599077861,0.0001,0.8533839460207595,1.0,1.0,valid,ynet
40.0,5.0,0.0,0.0694450545211633,0.0001,0.9007919983767967,1.0,1.0,train,ynet
40.0,5.0,0.0,0.0830943410595258,0.0001,0.8564221022541818,1.0,1.0,valid,ynet
40.0,6.0,0.0,0.06517643595238527,0.0001,0.9095125454738203,1.0,1.0,train,ynet
40.0,6.0,0.0,0.08114104524806694,0.0001,0.8641484109598779,1.0,1.0,valid,ynet
40.0,7.0,0.0,0.05978317114710808,0.0001,0.9212492113003586,1.0,1.0,train,ynet
40.0,7.0,0.0,0.07960631215461979,0.0001,0.8689357197567612,1.0,1.0,valid,ynet
40.0,8.0,0.0,0.0544106008708477,0.0001,0.9326109111134283,1.0,1.0,train,ynet
40.0,8.0,0.0,0.08206103604148936,0.0001,0.8645363176499181,1.0,1.0,valid,ynet
40.0,9.0,0.0,0.05148946571846803,0.0001,0.9383495275193757,1.0,1.0,train,ynet
40.0,9.0,0.0,0.0803755890853979,0.0001,0.8678287842534984,1.0,1.0,valid,ynet
40.0,10.0,0.0,0.0476566441009442,0.0001,0.9459171234676582,1.0,1.0,train,ynet
40.0,10.0,0.0,0.08486470752568157,0.0001,0.8604720871985122,1.0,1.0,valid,ynet
40.0,11.0,0.0,0.04441553474962711,0.0001,0.9519455269390219,1.0,1.0,train,ynet
40.0,11.0,0.0,0.08898468874394894,0.0001,0.8523219366535351,1.0,1.0,valid,ynet
40.0,12.0,0.0,0.041834546615680056,0.0001,0.956599088137152,1.0,1.0,train,ynet
40.0,12.0,0.0,0.0903938088428091,0.0001,0.8508183364710415,1.0,1.0,valid,ynet
40.0,13.0,0.0,0.038256278023123744,0.0001,0.9630265662827642,1.0,1.0,train,ynet
40.0,13.0,0.0,0.09073079729245768,0.0001,0.8541718252470774,1.0,1.0,valid,ynet
40.0,14.0,0.0,0.036443155474960805,0.0001,0.965815742091724,1.0,1.0,train,ynet
40.0,14.0,0.0,0.08891373438139756,0.0001,0.8627312715826944,1.0,1.0,valid,ynet
40.0,15.0,0.0,0.03403837951024374,0.0001,0.9695448193728351,1.0,1.0,train,ynet
40.0,15.0,0.0,0.08914468258067414,0.0001,0.8646340623913883,1.0,1.0,valid,ynet
40.0,16.0,0.0,0.031589358277618884,0.0001,0.9735209955474277,1.0,1.0,train,ynet
40.0,16.0,0.0,0.09522923896158184,0.0001,0.8544218439975743,1.0,1.0,valid,ynet
40.0,17.0,0.0,0.02864376470198234,0.0001,0.9775759326012039,1.0,1.0,train,ynet
40.0,17.0,0.0,0.10287483250377355,0.0001,0.8454723707867708,1.0,1.0,valid,ynet
40.0,18.0,0.0,0.027488768202563126,0.0001,0.9793642915993707,1.0,1.0,train,ynet
40.0,18.0,0.0,0.09822951319317023,0.0001,0.8545237336317073,1.0,1.0,valid,ynet
40.0,19.0,0.0,0.028116399859388668,0.0001,0.9780895687134444,1.0,1.0,train,ynet
40.0,19.0,0.0,0.10111676901578903,0.0001,0.8388938961299094,1.0,1.0,valid,ynet
40.0,20.0,0.0,0.026339567662527163,0.0001,0.9806602115075242,1.0,1.0,train,ynet
40.0,20.0,0.0,0.10207717400044203,0.0001,0.8514032656363902,1.0,1.0,valid,ynet
40.0,21.0,0.0,0.021086812106271585,0.0001,0.9874812082455339,1.0,1.0,train,ynet
40.0,21.0,0.0,0.09796545357891807,0.0001,0.8612361394276458,1.0,1.0,valid,ynet
40.0,22.0,0.0,0.020683483369648457,0.0001,0.98748195754736,1.0,1.0,train,ynet
40.0,22.0,0.0,0.1096097081899643,0.0001,0.8401022635275912,1.0,1.0,valid,ynet
40.0,23.0,0.0,0.021069751530885698,0.0001,0.9868052798784354,1.0,1.0,train,ynet
40.0,23.0,0.0,0.10938972759026068,0.0001,0.8370997003495456,1.0,1.0,valid,ynet
40.0,24.0,0.0,0.01923913798108697,0.0001,0.9891243671545596,1.0,1.0,train,ynet
40.0,24.0,0.0,0.10854726036389668,0.0001,0.847967574769386,1.0,1.0,valid,ynet
40.0,25.0,0.0,0.01743430439134439,0.0001,0.9909012735276261,1.0,1.0,train,ynet
40.0,25.0,0.0,0.10857256150080098,0.0001,0.8509341462080222,1.0,1.0,valid,ynet
40.0,26.0,0.0,0.017288261933873096,0.0001,0.9911690223046968,1.0,1.0,train,ynet
40.0,26.0,0.0,0.11326076317992476,0.0001,0.840785598681303,1.0,1.0,valid,ynet
40.0,27.0,0.0,0.01708239403863748,0.0001,0.9911293675159364,1.0,1.0,train,ynet
40.0,27.0,0.0,0.11638527294551884,0.0001,0.8449402585008992,1.0,1.0,valid,ynet
40.0,28.0,0.0,0.015908204225823282,0.0001,0.9921869633526789,1.0,1.0,train,ynet
40.0,28.0,0.0,0.11905626907806706,0.0001,0.8415607930108482,1.0,1.0,valid,ynet
40.0,29.0,0.0,0.01592895937152207,0.0001,0.9921355286958481,1.0,1.0,train,ynet
40.0,29.0,0.0,0.11668160357685001,0.0001,0.8465091639668612,1.0,1.0,valid,ynet
40.0,30.0,0.0,0.015241374459738532,0.0001,0.9925754465023939,1.0,1.0,train,ynet
40.0,30.0,0.0,0.11644491932734295,0.0001,0.8534862622943938,1.0,1.0,valid,ynet
40.0,31.0,0.0,0.01488042155901591,0.0001,0.9929491842667116,1.0,1.0,train,ynet
40.0,31.0,0.0,0.116989157748995,0.0001,0.8497035776960902,1.0,1.0,valid,ynet
40.0,32.0,0.0,0.013693712333838145,0.0001,0.993968190455937,1.0,1.0,train,ynet
40.0,32.0,0.0,0.12620351622226061,0.0001,0.8470655614621889,1.0,1.0,valid,ynet
40.0,33.0,0.0,0.014864345281695326,0.0001,0.9928316935793571,1.0,1.0,train,ynet
40.0,33.0,0.0,0.1249731650782956,0.0001,0.8316987755852712,1.0,1.0,valid,ynet
40.0,34.0,0.0,0.013064607908328375,0.0001,0.9945336890215676,1.0,1.0,train,ynet
40.0,34.0,0.0,0.12317489736058095,0.0001,0.8472784884879995,1.0,1.0,valid,ynet
40.0,35.0,0.0,0.01246884013277789,0.0001,0.9948079961200442,1.0,1.0,train,ynet
40.0,35.0,0.0,0.12365737129692678,0.0001,0.8429294369092784,1.0,1.0,valid,ynet
40.0,36.0,0.0,0.013007645927990476,0.0001,0.9941985603797983,1.0,1.0,train,ynet
40.0,36.0,0.0,0.12447792876304851,0.0001,0.8443737999360401,1.0,1.0,valid,ynet
40.0,37.0,0.0,0.011685709069172542,0.0001,0.9953367308719416,1.0,1.0,train,ynet
40.0,37.0,0.0,0.12314308517509037,0.0001,0.8483539401277502,1.0,1.0,valid,ynet
40.0,38.0,0.0,0.010692276952167352,0.0001,0.9960043255870793,1.0,1.0,train,ynet
40.0,38.0,0.0,0.1234612785693672,0.0001,0.8368087358183544,1.0,1.0,valid,ynet
40.0,39.0,0.0,0.011686645139319201,0.0001,0.9954577944094019,1.0,1.0,train,ynet
40.0,39.0,0.0,0.12713819190307898,0.0001,0.8404674373332284,1.0,1.0,valid,ynet
40.0,40.0,0.0,0.011157507758277159,0.0001,0.9958859876389123,1.0,1.0,train,ynet
40.0,40.0,0.0,0.13201925130905928,0.0001,0.8341160300682069,1.0,1.0,valid,ynet
40.0,41.0,0.0,0.010698862226990362,0.0001,0.9959918153329346,1.0,1.0,train,ynet
40.0,41.0,0.0,0.12814275913492398,0.0001,0.8458176054709204,1.0,1.0,valid,ynet
40.0,42.0,0.0,0.009137414856813847,0.0001,0.9971942160273379,1.0,1.0,train,ynet
40.0,42.0,0.0,0.12959279747748817,0.0001,0.8459269363825894,1.0,1.0,valid,ynet
40.0,43.0,0.0,0.010032347251971562,0.0001,0.996417123501165,1.0,1.0,train,ynet
40.0,43.0,0.0,0.12140041010247336,0.0001,0.8548187075790873,1.0,1.0,valid,ynet
40.0,44.0,0.0,0.011870222368898491,0.0001,0.9948465536063059,1.0,1.0,train,ynet
40.0,44.0,0.0,0.13447491866019037,0.0001,0.8385255786229725,1.0,1.0,valid,ynet
40.0,45.0,0.0,0.010827111990191042,0.0001,0.9958900890436424,1.0,1.0,train,ynet
40.0,45.0,0.0,0.12426653069754441,0.0001,0.8481801418866877,1.0,1.0,valid,ynet
40.0,46.0,0.0,0.010249918806056182,0.0001,0.9963801757814866,1.0,1.0,train,ynet
40.0,46.0,0.0,0.13597742550902897,0.0001,0.838291897505588,1.0,1.0,valid,ynet
40.0,47.0,0.0,0.012454665132487814,0.0001,0.99458663117748,1.0,1.0,train,ynet
40.0,47.0,0.0,0.12855035839257417,0.0001,0.8431713288682053,1.0,1.0,valid,ynet
40.0,48.0,0.0,0.011006869026459754,0.0001,0.9958246402162598,1.0,1.0,train,ynet
40.0,48.0,0.0,0.12540758953050332,0.0001,0.8540103733969096,1.0,1.0,valid,ynet
40.0,49.0,0.0,0.007851113604071239,0.0001,0.9976773371372053,1.0,1.0,train,ynet
40.0,49.0,0.0,0.1457885952183494,0.0001,0.8162366317110539,1.0,1.0,valid,ynet
40.0,50.0,0.0,0.011603809764919181,0.0001,0.9952956398786766,1.0,1.0,train,ynet
40.0,50.0,0.0,0.14306964932216537,0.0001,0.82153056758048,1.0,1.0,valid,ynet
40.0,51.0,0.0,0.010359462982354064,0.0001,0.9961679060840283,1.0,1.0,train,ynet
40.0,51.0,0.0,0.13205450235141647,0.0001,0.840164156820302,1.0,1.0,valid,ynet
40.0,52.0,0.0,0.008731300225791832,0.0001,0.9971997208638815,1.0,1.0,train,ynet
40.0,52.0,0.0,0.1454106859034962,0.0001,0.8263394674833158,1.0,1.0,valid,ynet
