acc,acc_labels,bce_loss,cell,cell_size,epoch,exp,f1,f1_labels,loss,lr,model,pair,pair_loss,prec,prec_labels,prob,recall,recall_labels,train_mode
0.8163888888888888,"[0.9061111111111111, 0.7266666666666667]",0.45475967708561155,0.0,[56],1.0,0.0,0.40641210676037454,"[0.7737617135207492, 0.03906249999999985]",0.5432979071305858,0.0001,vgg16,1.0,0.08853823011106417,0.5866851595006934,"[0.9352750809061489, 0.23809523809523808]",[0.1],0.3405469736714272,"[0.6598173515981736, 0.02127659574468085]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",1.3192676603794098,0.0,[56],1.0,0.0,0.0,"[0.0, 0.0]",1.3192676603794098,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.883888888888889,"[0.9633333333333334, 0.8044444444444444]",0.2755297369841072,0.0,[56],2.0,0.0,0.6873102771275386,"[0.9195121951219507, 0.4551083591331265]",0.3777142242425018,0.0001,vgg16,1.0,0.10218448763868461,0.9110691337458353,"[0.9869109947643979, 0.8352272727272727]",[0.1],0.5867482755270572,"[0.860730593607306, 0.3127659574468085]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",1.4606297612190247,0.0,[56],2.0,0.0,0.0,"[0.0, 0.0]",1.4606297612190247,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9391666666666667,"[0.9688888888888889, 0.9094444444444445]",0.1878218604777228,0.0,[56],3.0,0.0,0.8639251056195025,"[0.9323671497584536, 0.7954830614805516]",0.3056562290025694,0.0001,vgg16,1.0,0.11783436711726204,0.9795812749941191,"[0.9897435897435898, 0.9694189602446484]",[0.1],0.7778733119595842,"[0.8812785388127854, 0.674468085106383]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",1.505518689751625,0.0,[56],3.0,0.0,0.0,"[0.0, 0.0]",1.505518689751625,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9608333333333334,"[0.9888888888888889, 0.9327777777777778]",0.15415698997158972,0.0,[56],4.0,0.0,0.9149844236760118,"[0.976635514018691, 0.8533333333333328]",0.2728239487649666,0.0001,vgg16,1.0,0.1186669585812423,0.995774647887324,"[1.0, 0.9915492957746479]",[0.1],0.8516370348780724,"[0.954337899543379, 0.7489361702127659]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",1.6127336472272873,0.0,[56],4.0,0.0,0.0,"[0.0, 0.0]",1.6127336472272873,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9619444444444445,"[0.9888888888888889, 0.935]",0.15058726409657133,0.0,[56],5.0,0.0,0.9172363475318239,"[0.976635514018691, 0.857837181044957]",0.26779675589253504,0.0001,vgg16,1.0,0.11720949235475725,1.0,"[1.0, 1.0]",[0.1],0.8527008646653065,"[0.954337899543379, 0.7510638297872341]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",1.7960762679576874,0.0,[56],5.0,0.0,0.0,"[0.0, 0.0]",1.7960762679576874,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9666666666666667,"[0.9922222222222222, 0.9411111111111111]",0.14531896733161476,0.0,[56],6.0,0.0,0.9292315962109114,"[0.9837587006960551, 0.8747044917257677]",0.26570957803891765,0.0001,vgg16,1.0,0.12039061037616597,0.9920212765957447,"[1.0, 0.9840425531914894]",[0.1],0.8776352861167784,"[0.9680365296803652, 0.7872340425531915]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",1.832826852798462,0.0,[56],6.0,0.0,0.0,"[0.0, 0.0]",1.832826852798462,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9647222222222223,"[0.9894444444444445, 0.94]",0.1485983682434178,0.0,[56],7.0,0.0,0.9252870729515915,"[0.9779326364692212, 0.8726415094339618]",0.2668185502083765,0.0001,vgg16,1.0,0.11822018278762698,0.987053923224136,"[0.9952718676122931, 0.9788359788359788]",[0.1],0.8742106285825318,"[0.9611872146118722, 0.7872340425531915]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.521789640188217,0.0,[56],7.0,0.0,0.0,"[0.0, 0.0]",2.521789640188217,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.925,"[0.9633333333333334, 0.8866666666666667]",0.25389235673121424,0.0,[56],8.0,0.0,0.8318326462717864,"[0.9212410501193311, 0.7424242424242419]",0.3768968314322895,0.0001,vgg16,1.0,0.1230044757048685,0.9390217391304347,"[0.965, 0.9130434782608695]",[0.1],0.7534052268532012,"[0.8812785388127854, 0.625531914893617]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.3337581753730774,0.0,[56],8.0,0.0,0.0,"[0.0, 0.0]",2.3337581753730774,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9652777777777778,"[0.9888888888888889, 0.9416666666666667]",0.15825487825398643,0.0,[56],9.0,0.0,0.925675057588836,"[0.9767981438515075, 0.8745519713261642]",0.2776945801451802,0.0001,vgg16,1.0,0.11943970076325867,0.99509986633078,"[0.9929245283018868, 0.997275204359673]",[0.1],0.8699553094335957,"[0.9611872146118722, 0.7787234042553192]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.9961107075214386,0.0,[56],9.0,0.0,0.0,"[0.0, 0.0]",2.9961107075214386,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9794444444444445,"[0.9911111111111112, 0.9677777777777777]",0.12371913404297427,0.0,[56],10.0,0.0,0.9579878805654334,"[0.9814385150812059, 0.9345372460496609]",0.2485325365444396,0.0001,vgg16,1.0,0.12481340160118738,0.9964169085631349,"[0.9976415094339622, 0.9951923076923077]",[0.1],0.9233022442436607,"[0.9657534246575342, 0.8808510638297873]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.940779149532318,0.0,[56],10.0,0.0,0.0,"[0.0, 0.0]",2.940779149532318,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9861111111111112,"[0.9944444444444445, 0.9777777777777777]",0.11770810931921005,0.0,[56],11.0,0.0,0.9720666823341877,"[0.9884792626728105, 0.9556541019955649]",0.24137923831327093,0.0001,vgg16,1.0,0.12367112902510498,0.9976798018949182,"[0.9976744186046511, 0.9976851851851852]",[0.1],0.9482366656951327,"[0.9794520547945206, 0.9170212765957447]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",3.624211013317108,0.0,[56],11.0,0.0,0.0,"[0.0, 0.0]",3.624211013317108,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9944444444444445,"[0.9966666666666667, 0.9922222222222222]",0.09702600221046143,0.0,[56],12.0,0.0,0.9889923288895504,"[0.9931034482758615, 0.9848812095032391]",0.22452041794442468,0.0001,vgg16,1.0,0.12749441584779156,1.0,"[1.0, 1.0]",[0.1],0.9782570679102303,"[0.9863013698630136, 0.9702127659574468]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",4.2678514420986176,0.0,[56],12.0,0.0,0.0,"[0.0, 0.0]",4.2678514420986176,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9975,"[0.9983333333333333, 0.9966666666666667]",0.09100871956389811,0.0,[56],13.0,0.0,0.9950697955068907,"[0.996563573883161, 0.9935760171306204]",0.21961784000611967,0.0001,vgg16,1.0,0.12860912075266243,1.0,"[1.0, 1.0]",[0.1],0.9901923637423491,"[0.9931506849315068, 0.9872340425531915]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",4.050501972436905,0.0,[56],13.0,0.0,0.0,"[0.0, 0.0]",4.050501972436905,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
